label,prediction
0,0.679863
1,0.747927
1,0.611641
1,0.632164
1,0.896327
0,0.53154
1,1.1805
1,0.761864
1,1.19571
1,0.764869
0,0.478589
1,0.800958
1,0.858478
1,0.822104
1,0.838886
0,0.927
1,0.83401
1,0.803599
0,0.316353
0,0.433234
0,0.826995
0,0.719148
0,0.27638
0,0.928496
0,0.836207
0,1.03272
0,0.932335
0,0.974341
1,0.606221
1,0.611977
1,0.697079
1,0.928896
1,0.850108
1,0.854571
0,0.614791
1,0.869927
1,0.913438
1,0.995926
1,0.784168
1,0.888672
1,0.906827
1,0.844408
1,0.740042
1,0.999808
1,0.749617
1,0.757776
1,0.873529
0,0.627683
1,1.00726
1,1.08992
0,0.974637
0,0.312805
0,0.866674
0,0.924312
0,0.919047
0,0.616532
0,0.688514
0,0.827855
0,0.842944
0,0.834209
1,0.885622
1,0.919876
1,0.835473
1,0.887905
1,0.891073
1,0.773883
1,0.96881
1,1.0137
1,0.92015
1,0.713338
1,0.763552
1,0.701087
1,1.09793
1,1.12763
1,1.01644
0,0.499748
1,0.494529
1,0.578098
1,0.574396
1,0.705842
1,0.850344
1,0.850771
1,0.611562
1,0.66264
1,0.857432
1,0.828921
1,1.07945
1,0.985609
0,0.851398
1,1.12699
1,0.959863
0,0.730669
1,0.76175
1,0.767906
1,0.684711
1,0.616749
1,0.690587
1,0.918703
1,0.617345
1,0.80483
1,0.81149
1,0.936641
0,0.80988
1,0.786292
1,0.726053
1,0.760099
1,0.840724
1,0.762891
1,0.874443
1,0.859705
1,0.651924
1,0.753885
1,0.908938
1,1.10388
1,1.12101
1,1.00878
1,0.952503
1,1.03733
1,0.884917
1,0.95675
1,0.949514
0,0.513314
1,1.06297
1,0.93684
1,0.776794
1,1.02256
1,1.21304
1,1.15206
1,0.831823
1,1.11346
0,0.893639
1,0.769775
1,0.853097
1,0.799304
1,1.10582
1,0.87165
1,0.894369
1,0.968913
1,0.858065
1,0.768907
1,0.787315
1,0.709143
1,0.838137
1,0.79014
1,0.746373
1,0.968164
1,0.875441
0,0.657941
0,0.599152
0,0.762368
0,0.76028
0,0.460136
0,0.276906
0,0.656796
0,0.602351
0,0.696855
0,0.654238
0,0.756004
0,0.489163
0,0.735889
0,0.306621
0,0.68233
0,0.893696
0,0.599147
0,0.81703
0,0.673537
0,0.901336
0,0.585638
1,0.66392
1,0.884683
1,0.744346
1,1.047
1,0.568443
1,0.86875
1,0.708658
1,0.883045
1,0.890169
1,0.961552
1,0.544645
1,0.775994
1,0.710038
1,0.962542
0,0.818495
1,0.690593
1,0.606534
1,0.775769
1,0.706603
1,0.662075
1,0.707249
1,0.821391
1,0.770737
1,0.75433
1,0.852389
1,1.05682
1,1.13041
1,0.973739
1,0.92016
1,0.999048
1,1.13466
1,0.917623
1,0.998231
1,1.17981
1,1.0558
0,0.926911
1,0.965767
1,0.875265
1,0.963793
1,0.932291
1,0.805429
1,1.1073
1,1.0591
1,1.36794
1,0.818355
1,0.733872
0,0.601109
1,1.11249
1,0.868234
1,0.953011
1,0.919144
1,0.898745
1,0.856797
1,1.09714
1,1.05017
1,1.05166
1,1.12071
1,1.02671
1,1.04835
1,1.05201
1,0.830109
1,0.949136
1,1.36465
1,1.15986
1,1.24628
0,0.785603
1,0.63119
1,0.78051
1,0.537026
1,0.646164
1,0.652304
1,0.740619
1,0.800975
1,0.895385
1,0.642288
1,1.07293
1,1.12165
1,0.883424
1,1.12192
1,0.999447
1,1.24166
1,1.17961
1,1.33677
1,1.03969
0,0.804459
1,0.675658
1,0.829152
1,0.950497
1,0.912511
1,1.06498
1,0.96923
1,1.18621
1,0.880264
1,0.922926
1,0.766486
1,1.05979
1,0.948906
1,0.927604
1,1.16056
1,1.38119
1,0.939263
0,0.583857
1,0.945785
1,0.878097
1,0.990159
1,1.10606
1,0.928206
1,0.988947
0,0.61722
1,0.759486
1,0.844891
1,0.798506
1,0.598958
1,0.984787
1,0.815393
1,0.848182
1,0.872934
1,0.820592
1,0.959749
0,0.834187
1,0.604417
1,0.554196
1,0.734875
1,0.88795
1,1.04039
1,1.02473
1,1.0934
1,1.25875
0,0.75111
1,0.833162
1,1.14124
1,0.861338
1,1.00309
1,1.05143
1,1.18918
1,1.06589
1,0.910697
0,0.549981
1,0.717114
1,0.995878
1,0.874153
1,1.15088
1,0.832934
1,1.07445
1,0.945263
1,1.20271
1,0.625927
1,0.955998
1,0.783471
1,0.999097
1,0.729829
1,1.10505
1,0.859376
1,0.995429
0,0.6038
1,1.2231
1,1.11951
1,0.848593
1,1.1922
1,1.17783
1,0.750877
0,0.674545
1,0.836929
1,0.994993
1,0.9439
1,0.88668
1,0.995301
1,0.76139
1,1.08128
1,1.11048
1,1.06104
1,0.71209
1,0.968803
1,1.018
1,1.00152
1,0.922674
1,0.834541
1,1.09973
1,0.715472
1,0.962307
1,1.11321
1,0.986494
1,0.888577
1,1.064
0,0.737367
0,0.877226
0,0.756976
0,0.911173
0,0.822913
0,0.545089
0,0.424637
0,0.481131
0,0.481413
0,0.595944
0,0.700655
0,0.788075
0,0.442801
0,0.441922
0,0.619293
1,0.877453
1,1.14938
1,1.22481
1,0.550241
1,0.694069
1,0.880777
1,0.670716
1,0.767964
1,1.05623
1,0.626279
1,0.839515
1,0.860157
1,0.628081
1,0.664606
1,0.642822
1,0.735391
1,0.989805
1,1.03546
0,0.629407
1,0.94664
1,1.05318
1,0.899986
1,0.906793
1,1.02192
1,0.792631
0,0.941985
0,0.387546
0,0.411923
0,0.459728
0,0.952078
0,0.799964
0,1.04616
0,0.439565
0,0.506483
0,0.603156
1,0.790246
1,1.0482
1,0.950713
1,0.965594
1,0.843794
1,1.03479
1,0.773922
1,0.9301
1,0.758019
1,1.0889
0,0.684464
1,1.10477
1,0.88394
1,1.10957
1,0.961254
1,0.868345
1,0.849902
1,0.791148
1,0.942499
1,0.640894
1,0.838625
0,0.69146
1,0.748098
1,0.666159
1,0.628688
1,0.982616
1,0.923514
1,0.888954
0,0.720325
1,0.889814
1,0.944169
0,0.718152
1,1.19391
1,1.18589
1,1.20877
1,1.4588
1,1.25453
1,1.23326
1,0.946098
1,1.01704
1,1.00668
1,1.09373
1,1.11964
1,0.979634
0,0.532025
1,0.659303
1,0.686865
1,0.797723
1,0.734886
1,0.742
1,0.707488
1,0.796909
1,0.888637
1,0.714036
1,0.992511
1,0.940099
1,0.675587
1,0.77715
1,0.76929
1,0.820872
1,0.822876
1,0.744362
1,0.827271
1,0.879223
1,0.981399
1,0.813448
1,1.14145
1,0.920104
1,0.714344
0,0.662406
1,0.491947
1,0.734301
1,0.71673
1,0.744277
1,0.806853
1,0.712336
0,0.861733
0,0.84255
0,0.230489
0,0.214667
0,0.219941
0,0.388536
0,0.261459
0,0.298777
0,0.371028
0,0.47309
0,0.347088
0,0.222364
0,0.409552
0,0.361215
0,0.375501
0,0.86773
0,0.365876
0,0.215291
0,0.781014
0,0.891798
0,0.324111
0,0.446674
0,0.296521
0,0.401662
0,0.500262
0,0.820618
0,0.821453
0,0.81893
0,0.743424
0,0.925673
0,0.892957
0,0.807597
0,0.904618
0,0.780871
0,0.812169
0,0.89771
0,0.892304
0,0.836759
0,0.382816
0,0.839112
0,0.846293
0,0.372553
0,1.06944
0,0.895029
0,0.927568
0,0.896515
0,0.902755
0,0.831949
0,0.832123
0,0.830723
0,0.719021
0,0.959971
0,0.885005
0,0.870796
0,0.920795
0,0.780212
0,0.798699
0,0.887766
0,0.902279
0,0.809626
0,0.472506
0,0.855244
0,0.882039
0,0.455961
0,1.13475
0,0.928112
0,0.979011
0,0.917148
0,0.929501
0,0.239898
0,0.21224
0,0.31465
0,0.321871
0,0.216832
0,0.291031
0,0.48714
0,0.310446
0,0.159618
0,0.355158
0,0.262483
0,0.290209
0,0.844787
0,0.293652
0,0.199688
0,0.73717
0,0.840784
0,0.290545
0,0.5026
0,0.23927
0,0.374041
0,0.258729
0,0.334291
0,0.289369
0,0.284687
0,0.295144
0,0.485825
0,0.34501
0,0.247035
0,0.356732
0,0.323048
0,0.306186
0,0.831061
0,0.294975
0,0.240976
0,0.76317
0,0.889472
0,0.256977
0,0.459928
0,0.250145
0,0.33118
0,0.372015
0,0.303979
0,0.338074
0,0.349035
0,0.515876
0,0.300156
0,0.259936
0,0.414011
0,0.365266
0,0.378893
0,0.840964
0,0.377951
0,0.236491
0,0.735955
0,0.910841
0,0.344898
0,0.47014
0,0.293268
0,0.444846
0,0.432905
0,0.348677
0,0.311592
0,0.614796
0,0.290517
0,0.327144
0,0.382943
0,0.387327
0,0.326734
0,0.769398
0,0.321216
0,0.366057
0,0.695716
0,0.894414
0,0.338706
0,0.49403
0,0.360906
0,0.396553
0,0.341056
0,0.360126
0,0.465715
0,0.438053
0,0.325189
0,0.473925
0,0.42184
0,0.442276
0,0.965007
0,0.43878
0,0.22031
0,0.906598
0,0.911288
0,0.319679
0,0.325473
0,0.320794
0,0.391557
0,0.302359
0,0.513919
0,0.413625
0,0.215751
0,0.326556
0,0.280898
0,0.275274
0,0.912233
0,0.300228
0,0.298873
0,0.827041
0,0.776236
0,0.274304
0,0.547926
0,0.273017
0,0.360464
0,0.511775
0,0.367754
0,0.310828
0,0.332306
0,0.291008
0,0.259632
0,0.821301
0,0.277124
0,0.295062
0,0.762827
0,0.781896
0,0.245551
0,0.466561
0,0.243245
0,0.328839
0,0.589335
0,0.479058
0,0.649378
0,0.563851
0,0.549947
0,0.876252
0,0.62492
0,0.449266
0,0.850091
0,0.84694
0,0.586349
0,0.551626
0,0.551692
0,0.595727
0,0.336825
0,0.411404
0,0.386552
0,0.367265
0,0.769598
0,0.357872
0,0.357684
0,0.673166
0,0.894026
0,0.369053
0,0.480782
0,0.371533
0,0.412235
0,0.331225
0,0.260713
0,0.272638
0,0.829722
0,0.301405
0,0.237551
0,0.732411
0,0.796394
0,0.284936
